"","x"
"(Intercept)",-117215.129711746
"Date",7.30540982875805
"month",-216.356602262937
"day",-7.33954999826203
"DayofWeek",1.93545999140161
"Weekday1",35.6286790497944
"Peakhour",37.3360199230085
"Temperature",0.79014049014174
