"Day","Hr","Temp","KWH"
2014-12-05,13,42.08,"Above_Normal"
2014-12-05,14,41,"Above_Normal"
2014-12-05,15,39.92,"Above_Normal"
2014-12-05,16,39.92,"Above_Normal"
2014-12-05,17,39.92,"Above_Normal"
2014-12-05,18,41,"Above_Normal"
2014-12-05,19,41,"Above_Normal"
2014-12-05,20,41,"Above_Normal"
2014-12-05,21,41,"Above_Normal"
2014-12-05,22,39.92,"Above_Normal"
2014-12-05,23,39.56,"Above_Normal"
2014-12-06,0,39.74,"Above_Normal"
2014-12-06,1,40.1,"Above_Normal"
2014-12-06,2,42.08,"Above_Normal"
2014-12-06,3,42.86,"Above_Normal"
2014-12-06,4,44.42,"Above_Normal"
2014-12-06,5,44.78,"Above_Normal"
2014-12-06,6,44.78,"Above_Normal"
2014-12-06,7,44.72,"Above_Normal"
2014-12-06,8,41,"Above_Normal"
2014-12-06,9,39.14,"Above_Normal"
2014-12-06,10,37.94,"Above_Normal"
2014-12-06,11,39.02,"Above_Normal"
2014-12-06,12,39.02,"Above_Normal"
2014-12-06,13,39.56,"Above_Normal"
2014-12-06,14,39.92,"Above_Normal"
2014-12-06,15,41,"Above_Normal"
2014-12-06,16,41,"Above_Normal"
2014-12-06,17,41,"Above_Normal"
2014-12-06,18,39.02,"Above_Normal"
2014-12-06,19,39.02,"Above_Normal"
2014-12-06,20,39.02,"Above_Normal"
2014-12-06,21,39.02,"Above_Normal"
2014-12-06,22,37.94,"Above_Normal"
2014-12-06,23,37.94,"Above_Normal"
2014-12-07,0,37.22,"Above_Normal"
2014-12-07,1,35.78,"Above_Normal"
2014-12-07,2,37.22,"Above_Normal"
2014-12-07,3,37.22,"Above_Normal"
2014-12-07,4,35.96,"Above_Normal"
2014-12-07,5,35.06,"Above_Normal"
2014-12-07,6,33.89,"Above_Normal"
2014-12-07,7,33.98,"Above_Normal"
2014-12-07,8,33.98,"Above_Normal"
2014-12-07,9,33.98,"Above_Normal"
2014-12-07,10,33.98,"Above_Normal"
2014-12-07,11,33.98,"Above_Normal"
2014-12-07,12,33.98,"Above_Normal"
2014-12-07,13,35.96,"Above_Normal"
2014-12-07,14,37.04,"Above_Normal"
2014-12-07,15,35.96,"Above_Normal"
2014-12-07,16,32,"Above_Normal"
2014-12-07,17,30.02,"Above_Normal"
2014-12-07,18,28.04,"Above_Normal"
2014-12-07,19,26.06,"Above_Normal"
2014-12-07,20,24.08,"Above_Normal"
2014-12-07,21,23,"Above_Normal"
2014-12-07,22,21.92,"Above_Normal"
2014-12-07,23,21.02,"Above_Normal"
2014-12-08,0,19.67,"Above_Normal"
2014-12-08,1,19.94,"Above_Normal"
2014-12-08,2,19.04,"Above_Normal"
2014-12-08,3,19.04,"Above_Normal"
2014-12-08,4,19.04,"Above_Normal"
2014-12-08,5,17.96,"Above_Normal"
2014-12-08,6,19.04,"Above_Normal"
2014-12-08,7,19.04,"Above_Normal"
2014-12-08,8,19.94,"Above_Normal"
2014-12-08,9,21.02,"Above_Normal"
2014-12-08,10,21.02,"Above_Normal"
2014-12-08,11,21.92,"Above_Normal"
2014-12-08,12,23,"Above_Normal"
2014-12-08,13,24.08,"Above_Normal"
2014-12-08,14,24.08,"Above_Normal"
2014-12-08,15,24.89,"Above_Normal"
2014-12-08,16,24.98,"Above_Normal"
2014-12-08,17,26.06,"Above_Normal"
2014-12-08,18,26.06,"Above_Normal"
2014-12-08,19,26.33,"Above_Normal"
2014-12-08,20,25.79,"Above_Normal"
2014-12-08,21,24.89,"Above_Normal"
2014-12-08,22,25.43,"Above_Normal"
2014-12-08,23,27.635,"Above_Normal"
2014-12-09,0,30.32,"Above_Normal"
2014-12-09,1,32.66,"Above_Normal"
2014-12-09,2,39.2,"Above_Normal"
2014-12-09,3,42.08,"Above_Normal"
2014-12-09,4,37.04,"Above_Normal"
2014-12-09,5,37.4,"Above_Normal"
2014-12-09,6,42.89,"Above_Normal"
2014-12-09,7,42.98,"Above_Normal"
2014-12-09,8,44.06,"Above_Normal"
2014-12-09,9,44.96,"Above_Normal"
2014-12-09,10,44.78,"Above_Normal"
2014-12-09,11,44.96,"Above_Normal"
2014-12-09,12,46.28,"Above_Normal"
2014-12-09,13,46.94,"Above_Normal"
2014-12-09,14,46.94,"Above_Normal"
2014-12-09,15,46.58,"Above_Normal"
2014-12-09,16,48.02,"Above_Normal"
2014-12-09,17,48.14,"Above_Normal"
2014-12-09,18,48.44,"Above_Normal"
2014-12-09,19,48.92,"Above_Normal"
2014-12-09,20,48.56,"Above_Normal"
2014-12-09,21,48.92,"Above_Normal"
2014-12-09,22,48.92,"Above_Normal"
2014-12-09,23,48.92,"Above_Normal"
2014-12-10,0,46.04,"Above_Normal"
2014-12-10,1,44.96,"Above_Normal"
2014-12-10,2,42.98,"Above_Normal"
2014-12-10,3,42.08,"Above_Normal"
2014-12-10,4,42.08,"Above_Normal"
2014-12-10,5,42.2,"Above_Normal"
2014-12-10,6,41,"Above_Normal"
2014-12-10,7,41.9,"Above_Normal"
2014-12-10,8,41,"Above_Normal"
2014-12-10,9,41,"Above_Normal"
2014-12-10,10,41.36,"Above_Normal"
2014-12-10,11,42.56,"Above_Normal"
2014-12-10,12,42.44,"Above_Normal"
2014-12-10,13,42.56,"Above_Normal"
2014-12-10,14,41,"Above_Normal"
2014-12-10,15,39.92,"Above_Normal"
2014-12-10,16,39.92,"Above_Normal"
2014-12-10,17,39.11,"Above_Normal"
2014-12-10,18,39.11,"Above_Normal"
2014-12-10,19,39.02,"Above_Normal"
2014-12-10,20,39.14,"Above_Normal"
2014-12-10,21,37.94,"Above_Normal"
2014-12-10,22,39.02,"Above_Normal"
2014-12-10,23,39.02,"Above_Normal"
2014-12-11,0,39.14,"Above_Normal"
2014-12-11,1,39.155,"Above_Normal"
2014-12-11,2,37.94,"Above_Normal"
2014-12-11,3,37.94,"Above_Normal"
2014-12-11,4,37.04,"Above_Normal"
2014-12-11,5,35.96,"Above_Normal"
2014-12-11,6,35.06,"Above_Normal"
2014-12-11,7,35.33,"Above_Normal"
2014-12-11,8,35.33,"Above_Normal"
2014-12-11,9,34.43,"Above_Normal"
2014-12-11,10,33.98,"Above_Normal"
2014-12-11,11,33.89,"Above_Normal"
2014-12-11,12,33.656,"Above_Normal"
2014-12-11,13,33.86,"Above_Normal"
2014-12-11,14,33.86,"Above_Normal"
2014-12-11,15,33.98,"Above_Normal"
2014-12-11,16,33.89,"Above_Normal"
2014-12-11,17,33.98,"Above_Normal"
2014-12-11,18,33.08,"Above_Normal"
2014-12-11,19,33.08,"Above_Normal"
2014-12-11,20,32,"Above_Normal"
2014-12-11,21,32,"Above_Normal"
2014-12-11,22,32,"Above_Normal"
2014-12-11,23,32,"Above_Normal"
2014-12-12,0,32,"Above_Normal"
2014-12-12,1,30.92,"Above_Normal"
2014-12-12,2,30.92,"Above_Normal"
2014-12-12,3,30.92,"Above_Normal"
2014-12-12,4,30.92,"Above_Normal"
2014-12-12,5,32,"Above_Normal"
2014-12-12,6,32,"Above_Normal"
2014-12-12,7,32,"Above_Normal"
2014-12-12,8,33.98,"Above_Normal"
2014-12-12,9,35.06,"Above_Normal"
2014-12-12,10,36.32,"Above_Normal"
2014-12-12,11,35.96,"Above_Normal"
2014-12-12,12,37.04,"Above_Normal"
2014-12-12,13,37.67,"Above_Normal"
2014-12-12,14,37.94,"Above_Normal"
2014-12-12,15,37.94,"Above_Normal"
2014-12-12,16,37.04,"Above_Normal"
2014-12-12,17,35.96,"Above_Normal"
2014-12-12,18,36.68,"Above_Normal"
